Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX34,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,169.38625,-59.79945,0.0,bottom
MX35,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,188.43625,-59.79945,0.0,bottom
MX36,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,207.48625,-59.79945,0.0,bottom
MX37,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,226.53625,-59.79945,0.0,bottom
MX38,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,245.58625,-59.79945,0.0,bottom
MX39,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,264.63625,-59.79945,0.0,bottom
MX4,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,84.455,-21.76195,0.0,bottom
MX40,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.68625,-59.79945,0.0,bottom
MX41,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,29.68625,-78.91195,0.0,bottom
MX42,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,51.1175,-78.91195,0.0,bottom
MX43,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,70.1675,-78.91195,0.0,bottom
MX44,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,89.2175,-78.91195,0.0,bottom
MX45,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,108.2675,-78.91195,0.0,bottom
MX46,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,127.3175,-78.91195,0.0,bottom
MX47,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,146.3675,-78.91195,0.0,bottom
MX48,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,178.91125,-78.84945,0.0,bottom
MX49,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,197.96125,-78.84945,0.0,bottom
MX5,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,103.505,-21.76195,0.0,bottom
MX50,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,217.01125,-78.84945,0.0,bottom
MX51,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,236.06125,-78.84945,0.0,bottom
MX52,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,255.11125,-78.84945,0.0,bottom
MX53,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.685,-78.84945,0.0,bottom
MX54,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,29.68625,-97.96195,0.0,bottom
MX55,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,53.49875,-97.96195,0.0,bottom
MX56,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,77.31125,-97.96195,0.0,bottom
MX57,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,132.07125,-98.00695,0.0,bottom
MX58,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,188.45625,-97.90695,0.0,bottom
MX59,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,217.05125,-97.90695,0.0,bottom
MX6,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,122.555,-21.76195,0.0,bottom
MX60,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,236.10125,-97.90695,0.0,bottom
MX61,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,264.646426,-97.90695,0.0,bottom
MX62,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,283.685,-97.90695,0.0,bottom
MX63,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,302.725,-97.90695,0.0,bottom
MX64,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,101.106426,-98.00695,0.0,bottom
MX7,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,141.605,-21.76195,0.0,bottom
MX8,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,174.14875,-21.69945,0.0,bottom
MX9,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,193.19875,-21.69945,0.0,bottom
R1,4.7k,R_0402_1005Metric,36.86625,-17.775,0.0,bottom
R2,4.7k,R_0402_1005Metric,39.95625,-17.775,0.0,bottom
enter1,MX_SW_HS,SW_MX_HS_CPG151101S11_1.25u,308.12055,-52.0075,90.0,bottom
